problema,n,k,algoritmo,status,synthesis_time_ms,max_memory_mb,expanded_states,used_states,expanded_transitions,used_transitions,heuristic_time_ms
AT,1,1,MonolithicController,OK,3,9.56,6,6,8,8,0
AT,1,1,DirectedController,OK,45,15.41,6,6,8,8,0
AT,1,1,PORController,OK,30,15.41,6,6,8,8,0
AT,1,1,PORGeneralizedController,OK,34,10.94,6,6,8,8,0
AT,1,2,MonolithicController,OK,2,9.55,7,7,10,9,0
AT,1,2,DirectedController,OK,43,15.41,7,7,9,9,2
AT,1,2,PORController,OK,33,15.41,7,6,10,8,0
AT,1,2,PORGeneralizedController,OK,36,10.97,7,6,10,8,0
AT,1,3,MonolithicController,OK,3,9.56,8,8,12,10,0
AT,1,3,DirectedController,OK,45,15.69,6,6,8,8,1
AT,1,3,PORController,OK,41,15.41,8,6,12,8,0
AT,1,3,PORGeneralizedController,OK,35,10.93,8,6,12,8,0
AT,1,4,MonolithicController,OK,4,9.56,9,9,14,11,0
AT,1,4,DirectedController,OK,48,15.71,6,6,8,8,2
AT,1,4,PORController,OK,45,15.69,9,6,14,8,0
AT,1,4,PORGeneralizedController,OK,32,11.54,9,6,14,8,0
AT,2,1,MonolithicController,OK,7,0.0,32,0,61,0,0
AT,2,1,DirectedController,OK,68,0.0,18,0,26,0,4
AT,2,1,PORController,OK,23,0.0,39,0,69,0,0
AT,2,1,PORGeneralizedController,OK,19,0.0,22,0,40,0,0
AT,2,2,MonolithicController,OK,6,10.15,44,31,91,53,0
AT,2,2,DirectedController,OK,95,17.1,23,23,33,33,6
AT,2,2,PORController,OK,51,16.28,52,27,99,45,0
AT,2,2,PORGeneralizedController,OK,42,12.65,29,27,55,45,0
AT,2,3,MonolithicController,OK,8,10.46,58,43,129,71,0
AT,2,3,DirectedController,OK,100,17.69,23,23,33,33,6
AT,2,3,PORController,OK,63,17.09,67,29,137,48,0
AT,2,3,PORGeneralizedController,OK,54,13.23,37,27,74,45,0
AT,2,4,MonolithicController,OK,9,10.56,74,57,175,91,0
AT,2,4,DirectedController,OK,124,18.25,23,23,33,33,9
AT,2,4,PORController,OK,73,18.58,84,29,183,48,0
AT,2,4,PORGeneralizedController,OK,52,14.11,46,27,97,45,0
AT,3,1,MonolithicController,OK,6,0.0,160,0,385,0,0
AT,3,1,DirectedController,OK,125,0.0,49,0,74,0,12
AT,3,1,PORController,OK,51,0.0,231,0,493,0,0
AT,3,1,PORGeneralizedController,OK,27,0.0,54,0,114,0,0
AT,3,2,MonolithicController,OK,13,0.0,280,0,733,0,0
AT,3,2,DirectedController,OK,307,0.0,122,0,192,0,21
AT,3,2,PORController,OK,82,0.0,390,0,901,0,0
AT,3,2,PORGeneralizedController,OK,39,0.0,84,0,185,0,0
AT,3,3,MonolithicController,OK,23,16.6,442,219,1279,433,0
AT,3,3,DirectedController,OK,293,16.27,99,99,142,142,34
AT,3,3,PORController,OK,137,13.47,597,158,1540,298,0
AT,3,3,PORGeneralizedController,OK,83,10.11,154,177,365,343,0
AT,3,4,MonolithicController,OK,36,20.58,652,345,2035,661,0
AT,3,4,DirectedController,OK,331,18.74,99,99,142,142,28
AT,3,4,PORController,OK,215,17.85,858,177,2401,325,0
AT,3,4,PORGeneralizedController,OK,131,13.32,216,204,554,382,0
AT,4,1,MonolithicController,OK,19,0.0,690,0,1849,0,0
AT,4,1,DirectedController,OK,326,0.0,134,0,210,0,51
AT,4,1,PORController,OK,130,0.0,1073,0,2521,0,0
AT,4,1,PORGeneralizedController,OK,39,0.0,76,0,192,0,0
AT,4,2,MonolithicController,OK,46,0.0,1682,0,5057,0,0
AT,4,2,DirectedController,OK,1161,0.0,455,0,703,0,54
AT,4,2,PORController,OK,264,0.0,2677,0,6977,0,0
AT,4,2,PORGeneralizedController,OK,66,0.0,158,0,406,0,0
AT,4,3,MonolithicController,OK,110,0.0,3298,0,11121,0,0
